SeniorCitizenRelevel,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,AdditionalInternetServicesCount,StreamingServicesCount,MC_x_Additional,MC_x_Streaming
No,No,No,2,DSL,Month-to-month,Yes,Mailed check,49.6,Yes,1,0,49.6,0.0
Yes,Yes,No,66,Fiber optic,One year,Yes,Credit card (automatic),105.95,Yes,2,2,211.9,211.9
No,No,Yes,3,Fiber optic,Month-to-month,No,Electronic check,91.85,Yes,1,1,91.85,91.85
No,Yes,Yes,1,DSL,Month-to-month,No,Electronic check,40.1,Yes,1,1,40.1,40.1
Yes,No,No,31,Fiber optic,Month-to-month,Yes,Electronic check,73.9,Yes,0,0,0.0,0.0
No,No,No,14,Fiber optic,Month-to-month,Yes,Mailed check,89.8,Yes,0,2,0.0,179.6
No,Yes,Yes,35,DSL,Month-to-month,No,Electronic check,72.25,Yes,3,1,216.75,72.25
Yes,No,No,37,Fiber optic,Month-to-month,Yes,Electronic check,96.55,Yes,0,2,0.0,193.1
No,No,No,7,DSL,Month-to-month,Yes,Credit card (automatic),40.1,Yes,1,1,40.1,40.1
Yes,No,No,24,Fiber optic,Month-to-month,Yes,Electronic check,101.25,Yes,1,2,101.25,202.5
No,No,No,1,Fiber optic,Month-to-month,No,Electronic check,79.55,Yes,0,1,0.0,79.55
No,No,No,32,Fiber optic,One year,No,Electronic check,84.05,Yes,0,1,0.0,84.05
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,89.1,Yes,0,2,0.0,178.2
No,Yes,Yes,17,Fiber optic,Month-to-month,No,Electronic check,94.4,Yes,2,1,188.8,94.4
No,No,No,19,Fiber optic,Month-to-month,Yes,Electronic check,78.25,Yes,2,0,156.5,0.0
Yes,No,No,2,DSL,Month-to-month,Yes,Electronic check,44.15,Yes,0,0,0.0,0.0
Yes,No,No,8,Fiber optic,Month-to-month,Yes,Electronic check,75.75,Yes,0,0,0.0,0.0
No,No,No,1,No,Month-to-month,Yes,Mailed check,19.1,Yes,0,0,0.0,0.0
Yes,Yes,No,1,Fiber optic,Month-to-month,Yes,Electronic check,80.3,Yes,1,0,80.3,0.0
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,74.9,Yes,1,0,74.9,0.0
Yes,No,No,9,Fiber optic,Month-to-month,Yes,Electronic check,80.85,Yes,0,1,0.0,80.85
No,No,No,3,DSL,Month-to-month,No,Electronic check,24.75,Yes,0,0,0.0,0.0
Yes,No,No,49,Fiber optic,Month-to-month,Yes,Credit card (automatic),90.85,Yes,1,1,90.85,90.85
No,Yes,No,2,Fiber optic,Month-to-month,No,Bank transfer (automatic),79.7,Yes,2,0,159.4,0.0
No,Yes,Yes,55,DSL,Two year,No,Bank transfer (automatic),57.55,Yes,3,0,172.64999999999998,0.0
No,Yes,No,21,Fiber optic,Month-to-month,Yes,Electronic check,86.5,Yes,0,1,0.0,86.5
No,Yes,Yes,69,Fiber optic,Month-to-month,Yes,Electronic check,103.95,Yes,2,2,207.9,207.9
Yes,No,No,1,DSL,Month-to-month,Yes,Electronic check,25.1,Yes,0,0,0.0,0.0
No,No,No,39,DSL,Month-to-month,Yes,Credit card (automatic),48.95,Yes,3,1,146.85000000000002,48.95
No,Yes,Yes,6,Fiber optic,Month-to-month,Yes,Credit card (automatic),83.55,Yes,1,1,83.55,83.55
Yes,No,No,17,Fiber optic,Month-to-month,Yes,Electronic check,89.15,Yes,2,1,178.3,89.15
No,No,Yes,1,Fiber optic,Month-to-month,Yes,Mailed check,70.45,Yes,0,0,0.0,0.0
No,Yes,No,58,DSL,One year,No,Credit card (automatic),60.3,Yes,3,0,180.89999999999998,0.0
No,No,Yes,1,DSL,Month-to-month,No,Electronic check,24.75,Yes,0,0,0.0,0.0
No,Yes,Yes,19,Fiber optic,Month-to-month,No,Electronic check,103.3,Yes,2,2,206.6,206.6
No,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,78.5,Yes,0,1,0.0,78.5
No,No,No,3,No,Month-to-month,No,Mailed check,19.85,Yes,0,0,0.0,0.0
Yes,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,79.9,Yes,0,1,0.0,79.9
Yes,No,No,30,Fiber optic,Month-to-month,Yes,Electronic check,99.7,Yes,1,2,99.7,199.4
No,No,No,15,DSL,Month-to-month,Yes,Credit card (automatic),58.6,Yes,2,0,117.2,0.0
No,Yes,No,10,Fiber optic,Month-to-month,Yes,Electronic check,98.5,Yes,1,2,98.5,197.0
No,No,No,1,DSL,Month-to-month,Yes,Mailed check,50.45,Yes,1,0,50.45,0.0
No,Yes,Yes,38,Fiber optic,Month-to-month,Yes,Electronic check,94.65,Yes,2,1,189.3,94.65
No,No,No,1,Fiber optic,Month-to-month,Yes,Credit card (automatic),100.25,Yes,1,2,100.25,200.5
No,No,No,16,Fiber optic,Month-to-month,Yes,Electronic check,88.45,Yes,1,1,88.45,88.45
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,69.85,Yes,0,0,0.0,0.0
No,No,No,12,Fiber optic,Month-to-month,No,Bank transfer (automatic),81.7,Yes,2,0,163.4,0.0
No,No,No,4,Fiber optic,Month-to-month,Yes,Electronic check,79.9,Yes,0,1,0.0,79.9
No,No,No,15,No,Month-to-month,Yes,Credit card (automatic),25.4,Yes,0,0,0.0,0.0
Yes,Yes,No,41,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),83.75,Yes,2,0,167.5,0.0
No,No,No,1,No,Month-to-month,No,Mailed check,20.9,Yes,0,0,0.0,0.0
No,Yes,No,1,Fiber optic,Month-to-month,Yes,Mailed check,69.4,Yes,0,0,0.0,0.0
No,No,No,7,Fiber optic,Month-to-month,Yes,Electronic check,74.9,Yes,0,0,0.0,0.0
Yes,Yes,No,42,Fiber optic,Month-to-month,Yes,Credit card (automatic),74.15,Yes,1,0,74.15,0.0
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,70.1,Yes,0,0,0.0,0.0
No,No,Yes,12,Fiber optic,Month-to-month,Yes,Electronic check,78.3,Yes,1,0,78.3,0.0
No,No,No,55,Fiber optic,Month-to-month,Yes,Electronic check,96.8,Yes,0,2,0.0,193.6
No,No,No,17,Fiber optic,Month-to-month,Yes,Electronic check,94.4,Yes,2,1,188.8,94.4
No,No,No,1,Fiber optic,Month-to-month,No,Electronic check,84.3,Yes,1,1,84.3,84.3
Yes,Yes,Yes,72,DSL,Two year,No,Credit card (automatic),92.45,Yes,4,2,369.8,184.9
Yes,Yes,No,11,Fiber optic,Month-to-month,Yes,Electronic check,99.55,Yes,1,2,99.55,199.1
Yes,No,No,8,Fiber optic,Month-to-month,Yes,Electronic check,81.25,Yes,1,0,81.25,0.0
No,Yes,Yes,1,No,Month-to-month,No,Bank transfer (automatic),19.95,Yes,0,0,0.0,0.0
No,Yes,No,23,Fiber optic,Month-to-month,Yes,Electronic check,99.25,Yes,3,1,297.75,99.25
No,No,No,39,Fiber optic,Two year,Yes,Electronic check,80.45,Yes,2,0,160.9,0.0
No,Yes,Yes,9,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),79.35,Yes,1,0,79.35,0.0
No,No,No,15,Fiber optic,Month-to-month,Yes,Electronic check,79.75,Yes,1,0,79.75,0.0
No,Yes,Yes,30,Fiber optic,Month-to-month,Yes,Electronic check,100.05,Yes,1,2,100.05,200.1
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,69.35,Yes,0,0,0.0,0.0
No,No,No,3,Fiber optic,Month-to-month,No,Electronic check,85.8,Yes,1,1,85.8,85.8
No,Yes,Yes,67,DSL,Two year,Yes,Electronic check,79.7,Yes,2,2,159.4,159.4
Yes,No,No,1,DSL,Month-to-month,No,Mailed check,50.55,Yes,0,0,0.0,0.0
No,Yes,No,1,Fiber optic,Month-to-month,Yes,Electronic check,80.55,Yes,0,1,0.0,80.55
No,Yes,Yes,12,Fiber optic,Month-to-month,Yes,Electronic check,84.5,Yes,2,0,169.0,0.0
No,No,No,22,Fiber optic,Month-to-month,Yes,Mailed check,84.3,Yes,1,1,84.3,84.3
No,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,67.75,Yes,0,0,0.0,0.0
Yes,No,No,27,Fiber optic,Month-to-month,Yes,Electronic check,85.25,Yes,0,1,0.0,85.25
No,No,No,10,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),80.05,Yes,1,0,80.05,0.0
No,No,No,1,No,Month-to-month,No,Mailed check,20.0,Yes,0,0,0.0,0.0
No,No,No,22,DSL,Month-to-month,Yes,Credit card (automatic),48.8,Yes,1,0,48.8,0.0
Yes,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,85.05,Yes,0,1,0.0,85.05
No,Yes,Yes,21,Fiber optic,Month-to-month,Yes,Electronic check,102.8,Yes,3,2,308.4,205.6
No,No,No,6,Fiber optic,Month-to-month,Yes,Mailed check,99.95,Yes,2,2,199.9,199.9
No,Yes,No,72,Fiber optic,One year,Yes,Bank transfer (automatic),117.8,Yes,4,2,471.2,235.6
Yes,No,No,54,Fiber optic,Month-to-month,Yes,Electronic check,79.5,Yes,1,0,79.5,0.0
No,Yes,No,3,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),79.65,Yes,1,0,79.65,0.0
No,No,No,8,Fiber optic,Month-to-month,Yes,Electronic check,94.7,Yes,1,2,94.7,189.4
No,No,No,5,Fiber optic,Month-to-month,Yes,Electronic check,92.5,Yes,1,1,92.5,92.5
No,Yes,Yes,1,No,Month-to-month,No,Mailed check,19.45,Yes,0,0,0.0,0.0
No,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,75.55,Yes,0,0,0.0,0.0
No,Yes,Yes,1,Fiber optic,Month-to-month,Yes,Electronic check,70.0,Yes,0,0,0.0,0.0
No,Yes,Yes,65,DSL,Two year,Yes,Bank transfer (automatic),74.8,Yes,2,2,149.6,149.6
No,Yes,No,33,Fiber optic,Month-to-month,Yes,Electronic check,104.4,Yes,2,2,208.8,208.8
No,No,No,15,Fiber optic,Month-to-month,No,Electronic check,86.2,Yes,1,1,86.2,86.2
No,Yes,Yes,30,DSL,Month-to-month,No,Credit card (automatic),51.2,Yes,1,2,51.2,102.4
No,No,No,2,No,Month-to-month,No,Mailed check,19.5,Yes,0,0,0.0,0.0
Yes,No,No,4,Fiber optic,Month-to-month,Yes,Electronic check,74.9,Yes,0,0,0.0,0.0
No,No,No,2,Fiber optic,Month-to-month,No,Credit card (automatic),74.9,Yes,0,0,0.0,0.0
No,No,No,25,Fiber optic,Month-to-month,Yes,Electronic check,100.25,Yes,1,2,100.25,200.5
Yes,No,No,25,Fiber optic,Month-to-month,Yes,Mailed check,102.8,Yes,2,2,205.6,205.6
No,No,No,43,Fiber optic,One year,Yes,Electronic check,100.0,Yes,1,2,100.0,200.0
No,Yes,No,10,Fiber optic,Month-to-month,Yes,Electronic check,99.85,Yes,2,2,199.7,199.7
No,No,Yes,2,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),94.2,Yes,0,2,0.0,188.4
Yes,No,No,9,Fiber optic,Month-to-month,Yes,Electronic check,83.85,Yes,0,1,0.0,83.85
Yes,No,No,27,Fiber optic,Month-to-month,No,Credit card (automatic),88.3,Yes,1,1,88.3,88.3
No,No,No,69,Fiber optic,One year,Yes,Bank transfer (automatic),104.05,Yes,3,2,312.15,208.1
No,Yes,No,22,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.7,Yes,1,2,94.7,189.4
Yes,Yes,No,56,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),100.65,Yes,1,2,100.65,201.3
Yes,Yes,No,66,DSL,Two year,Yes,Bank transfer (automatic),80.55,Yes,2,2,161.1,161.1
Yes,Yes,No,24,Fiber optic,Month-to-month,Yes,Electronic check,78.85,Yes,1,0,78.85,0.0
No,No,No,1,DSL,Month-to-month,Yes,Mailed check,44.45,Yes,0,0,0.0,0.0
No,No,No,36,Fiber optic,Month-to-month,Yes,Electronic check,84.9,Yes,0,1,0.0,84.9
No,No,No,1,No,Month-to-month,No,Mailed check,20.25,Yes,0,0,0.0,0.0
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,74.35,Yes,1,0,74.35,0.0
No,No,No,1,DSL,Month-to-month,No,Mailed check,62.05,Yes,2,0,124.1,0.0
No,Yes,Yes,39,DSL,One year,No,Credit card (automatic),80.0,Yes,3,2,240.0,160.0
No,No,No,5,Fiber optic,Month-to-month,No,Mailed check,104.1,Yes,2,2,208.2,208.2
Yes,Yes,No,24,DSL,Month-to-month,No,Bank transfer (automatic),39.1,Yes,1,1,39.1,39.1
No,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,76.5,Yes,0,0,0.0,0.0
No,No,No,5,DSL,Month-to-month,Yes,Electronic check,49.2,Yes,1,0,49.2,0.0
No,No,No,11,No,Month-to-month,No,Credit card (automatic),23.15,Yes,0,0,0.0,0.0
No,Yes,Yes,4,Fiber optic,Month-to-month,No,Electronic check,80.85,Yes,0,1,0.0,80.85
No,No,No,1,DSL,Month-to-month,No,Mailed check,60.1,Yes,2,0,120.2,0.0
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,78.95,Yes,0,1,0.0,78.95
No,No,No,2,DSL,Month-to-month,Yes,Electronic check,45.15,Yes,0,0,0.0,0.0
No,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,79.4,Yes,0,1,0.0,79.4
No,No,No,44,DSL,One year,Yes,Mailed check,53.95,Yes,2,2,107.9,107.9
No,Yes,No,24,Fiber optic,Month-to-month,Yes,Credit card (automatic),99.3,Yes,2,2,198.6,198.6
No,No,No,18,Fiber optic,Month-to-month,Yes,Electronic check,80.65,Yes,1,0,80.65,0.0
No,No,No,1,Fiber optic,Month-to-month,No,Mailed check,71.1,Yes,0,0,0.0,0.0
Yes,Yes,No,65,Fiber optic,One year,Yes,Electronic check,106.25,Yes,2,2,212.5,212.5
No,Yes,No,53,No,One year,No,Bank transfer (automatic),20.8,Yes,0,0,0.0,0.0
Yes,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,94.0,Yes,0,2,0.0,188.0
Yes,No,No,15,Fiber optic,Month-to-month,No,Electronic check,89.85,Yes,1,1,89.85,89.85
No,No,No,4,DSL,Month-to-month,Yes,Mailed check,46.0,Yes,0,0,0.0,0.0
No,No,No,9,DSL,Month-to-month,No,Mailed check,66.25,Yes,2,1,132.5,66.25
No,No,No,22,Fiber optic,Month-to-month,Yes,Electronic check,90.0,Yes,1,1,90.0,90.0
No,No,No,38,Fiber optic,One year,Yes,Bank transfer (automatic),70.45,Yes,0,0,0.0,0.0
No,No,Yes,53,No,Two year,No,Bank transfer (automatic),19.75,Yes,0,0,0.0,0.0
No,No,No,1,DSL,Month-to-month,Yes,Electronic check,53.95,Yes,2,0,107.9,0.0
Yes,No,No,8,Fiber optic,Month-to-month,Yes,Electronic check,105.5,Yes,2,2,211.0,211.0
No,No,Yes,16,Fiber optic,Month-to-month,Yes,Electronic check,81.0,Yes,0,1,0.0,81.0
No,Yes,Yes,1,Fiber optic,Month-to-month,Yes,Electronic check,69.8,Yes,0,0,0.0,0.0
Yes,No,No,7,Fiber optic,Month-to-month,No,Mailed check,73.75,Yes,0,0,0.0,0.0
Yes,No,No,9,DSL,Month-to-month,No,Electronic check,54.55,Yes,1,0,54.55,0.0
Yes,No,No,37,Fiber optic,Month-to-month,Yes,Electronic check,76.25,Yes,0,0,0.0,0.0
No,No,No,5,Fiber optic,Month-to-month,Yes,Mailed check,93.9,Yes,0,2,0.0,187.8
Yes,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,70.4,Yes,0,0,0.0,0.0
No,Yes,Yes,31,Fiber optic,Month-to-month,Yes,Electronic check,91.15,Yes,1,1,91.15,91.15
No,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,70.95,Yes,0,0,0.0,0.0
No,Yes,No,37,Fiber optic,Month-to-month,Yes,Electronic check,99.5,Yes,1,2,99.5,199.0
No,No,No,38,Fiber optic,Month-to-month,Yes,Credit card (automatic),83.9,Yes,3,0,251.70000000000002,0.0
Yes,Yes,No,48,Fiber optic,Month-to-month,No,Electronic check,117.45,Yes,4,2,469.8,234.9
No,No,No,10,Fiber optic,Month-to-month,Yes,Electronic check,104.4,Yes,3,2,313.20000000000005,208.8
Yes,No,No,8,DSL,Month-to-month,Yes,Electronic check,29.4,Yes,1,0,29.4,0.0
No,No,No,2,DSL,Month-to-month,No,Mailed check,44.65,Yes,0,0,0.0,0.0
No,No,No,3,DSL,Month-to-month,No,Electronic check,25.25,Yes,0,0,0.0,0.0
No,No,Yes,4,Fiber optic,Month-to-month,No,Bank transfer (automatic),84.05,Yes,2,0,168.1,0.0
Yes,Yes,No,37,Fiber optic,Month-to-month,Yes,Electronic check,85.7,Yes,0,1,0.0,85.7
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,74.7,Yes,1,0,74.7,0.0
No,No,No,5,Fiber optic,Month-to-month,Yes,Electronic check,90.8,Yes,1,1,90.8,90.8
Yes,No,No,28,Fiber optic,Month-to-month,Yes,Electronic check,106.15,Yes,2,2,212.3,212.3
No,No,No,30,DSL,One year,No,Bank transfer (automatic),85.35,Yes,4,2,341.4,170.7
Yes,No,No,36,Fiber optic,Month-to-month,Yes,Electronic check,90.85,Yes,1,1,90.85,90.85
No,No,No,1,DSL,Month-to-month,Yes,Electronic check,35.75,Yes,0,1,0.0,35.75
Yes,Yes,Yes,4,DSL,Month-to-month,No,Electronic check,46.0,Yes,0,0,0.0,0.0
No,Yes,Yes,17,Fiber optic,Month-to-month,Yes,Electronic check,89.4,Yes,2,1,178.8,89.4
No,No,No,3,No,Month-to-month,Yes,Mailed check,19.8,Yes,0,0,0.0,0.0
No,Yes,Yes,4,DSL,Month-to-month,Yes,Electronic check,50.9,Yes,0,0,0.0,0.0
No,No,No,4,Fiber optic,Month-to-month,Yes,Electronic check,81.0,Yes,0,1,0.0,81.0
No,No,No,26,Fiber optic,Month-to-month,Yes,Electronic check,98.35,Yes,1,2,98.35,196.7
No,No,No,5,DSL,Month-to-month,Yes,Mailed check,51.0,Yes,1,2,51.0,102.0
No,Yes,No,4,Fiber optic,Month-to-month,Yes,Electronic check,91.65,Yes,1,1,91.65,91.65
No,No,Yes,1,Fiber optic,Month-to-month,Yes,Electronic check,90.85,Yes,0,2,0.0,181.7
No,No,No,1,Fiber optic,Month-to-month,No,Mailed check,69.4,Yes,0,0,0.0,0.0
Yes,No,No,8,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.45,Yes,1,2,94.45,188.9
No,Yes,Yes,1,No,Month-to-month,Yes,Credit card (automatic),20.15,Yes,0,0,0.0,0.0
Yes,No,No,50,Fiber optic,Month-to-month,Yes,Electronic check,95.7,Yes,0,2,0.0,191.4
No,No,No,26,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),74.95,Yes,0,0,0.0,0.0
No,No,No,6,DSL,Month-to-month,Yes,Electronic check,47.95,Yes,1,2,47.95,95.9
No,No,No,3,DSL,Month-to-month,Yes,Electronic check,63.6,Yes,1,1,63.6,63.6
No,No,No,3,DSL,Month-to-month,Yes,Mailed check,36.85,Yes,2,0,73.7,0.0
No,No,No,1,DSL,Month-to-month,Yes,Electronic check,44.1,Yes,0,0,0.0,0.0
No,No,No,14,DSL,Month-to-month,Yes,Electronic check,50.75,Yes,1,2,50.75,101.5
Yes,Yes,No,61,Fiber optic,One year,Yes,Credit card (automatic),104.4,Yes,2,2,208.8,208.8
Yes,Yes,No,40,DSL,Month-to-month,Yes,Electronic check,39.3,Yes,1,1,39.3,39.3
No,No,No,58,Fiber optic,One year,Yes,Electronic check,106.45,Yes,3,2,319.35,212.9
No,No,No,18,Fiber optic,Month-to-month,Yes,Electronic check,96.05,Yes,1,2,96.05,192.1
No,No,No,7,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),75.1,Yes,0,0,0.0,0.0
Yes,No,No,2,DSL,Month-to-month,Yes,Electronic check,44.7,Yes,0,0,0.0,0.0
No,No,No,19,DSL,Month-to-month,Yes,Credit card (automatic),55.0,Yes,2,0,110.0,0.0
No,Yes,Yes,11,Fiber optic,Month-to-month,Yes,Electronic check,74.35,Yes,0,0,0.0,0.0
No,Yes,No,39,Fiber optic,One year,Yes,Credit card (automatic),104.7,Yes,3,2,314.1,209.4
No,No,No,15,DSL,Month-to-month,Yes,Mailed check,55.7,Yes,1,0,55.7,0.0
No,No,No,5,No,Month-to-month,No,Credit card (automatic),19.85,Yes,0,0,0.0,0.0
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,70.3,Yes,0,0,0.0,0.0
Yes,Yes,No,10,Fiber optic,Month-to-month,No,Electronic check,85.55,Yes,0,1,0.0,85.55
No,No,Yes,6,Fiber optic,Month-to-month,No,Mailed check,94.5,Yes,1,2,94.5,189.0
Yes,Yes,No,16,Fiber optic,Month-to-month,Yes,Credit card (automatic),85.35,Yes,0,1,0.0,85.35
No,No,No,2,Fiber optic,Month-to-month,Yes,Mailed check,79.65,Yes,0,1,0.0,79.65
Yes,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,79.6,Yes,0,1,0.0,79.6
Yes,No,No,19,Fiber optic,Month-to-month,Yes,Electronic check,90.6,Yes,1,1,90.6,90.6
No,No,No,1,No,Month-to-month,Yes,Bank transfer (automatic),20.2,Yes,0,0,0.0,0.0
No,Yes,No,66,Fiber optic,Two year,Yes,Credit card (automatic),106.05,Yes,2,2,212.1,212.1
No,No,No,36,Fiber optic,Month-to-month,Yes,Electronic check,99.15,Yes,1,2,99.15,198.3
No,Yes,No,39,DSL,Month-to-month,No,Electronic check,55.9,Yes,2,2,111.8,111.8
No,No,No,21,Fiber optic,Month-to-month,Yes,Electronic check,82.35,Yes,1,0,82.35,0.0
No,No,No,2,DSL,Month-to-month,Yes,Credit card (automatic),40.4,Yes,3,0,121.19999999999999,0.0
No,No,No,4,Fiber optic,Month-to-month,No,Electronic check,75.35,Yes,0,0,0.0,0.0
No,No,Yes,35,Fiber optic,One year,Yes,Electronic check,85.15,Yes,1,1,85.15,85.15
No,Yes,Yes,33,Fiber optic,One year,Yes,Electronic check,93.8,Yes,1,2,93.8,187.6
No,No,No,45,No,One year,Yes,Electronic check,20.4,Yes,0,0,0.0,0.0
Yes,Yes,No,7,Fiber optic,Month-to-month,Yes,Credit card (automatic),94.7,Yes,2,1,189.4,94.7
No,No,No,6,DSL,Month-to-month,Yes,Credit card (automatic),30.5,Yes,1,0,30.5,0.0
Yes,No,No,3,Fiber optic,Month-to-month,Yes,Electronic check,77.0,Yes,0,0,0.0,0.0
No,No,Yes,11,No,Month-to-month,No,Credit card (automatic),20.1,Yes,0,0,0.0,0.0
No,No,No,1,Fiber optic,Month-to-month,No,Electronic check,75.3,Yes,1,0,75.3,0.0
Yes,Yes,No,40,Fiber optic,One year,Yes,Credit card (automatic),99.2,Yes,2,2,198.4,198.4
Yes,No,No,47,Fiber optic,Month-to-month,No,Mailed check,85.5,Yes,1,1,85.5,85.5
No,No,No,7,No,Month-to-month,No,Mailed check,20.05,Yes,0,0,0.0,0.0
No,No,No,1,Fiber optic,Month-to-month,No,Electronic check,70.4,Yes,0,0,0.0,0.0
No,Yes,Yes,7,DSL,One year,Yes,Electronic check,49.75,Yes,1,0,49.75,0.0
Yes,No,No,15,Fiber optic,Month-to-month,Yes,Credit card (automatic),75.3,Yes,1,0,75.3,0.0
No,Yes,No,11,Fiber optic,Month-to-month,Yes,Electronic check,94.0,Yes,0,2,0.0,188.0
No,No,No,67,Fiber optic,One year,Yes,Bank transfer (automatic),118.35,Yes,4,2,473.4,236.7
No,No,No,8,DSL,Month-to-month,Yes,Electronic check,30.45,Yes,1,0,30.45,0.0
No,Yes,No,44,Fiber optic,Month-to-month,Yes,Electronic check,96.1,Yes,0,2,0.0,192.2
Yes,Yes,No,24,Fiber optic,Month-to-month,Yes,Electronic check,104.25,Yes,2,2,208.5,208.5
Yes,No,No,15,Fiber optic,Month-to-month,Yes,Electronic check,80.2,Yes,1,0,80.2,0.0
No,Yes,Yes,17,Fiber optic,Month-to-month,Yes,Electronic check,104.2,Yes,2,2,208.4,208.4
Yes,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,69.65,Yes,0,0,0.0,0.0
No,No,No,9,Fiber optic,Month-to-month,Yes,Electronic check,80.8,Yes,0,1,0.0,80.8
No,No,No,7,Fiber optic,Month-to-month,Yes,Mailed check,80.3,Yes,0,1,0.0,80.3
Yes,Yes,No,36,Fiber optic,Month-to-month,Yes,Electronic check,84.1,Yes,0,1,0.0,84.1
No,No,No,3,DSL,Month-to-month,Yes,Electronic check,69.35,Yes,1,2,69.35,138.7
Yes,Yes,Yes,34,Fiber optic,Month-to-month,Yes,Mailed check,79.6,Yes,1,0,79.6,0.0
Yes,No,No,1,DSL,Month-to-month,Yes,Electronic check,36.45,Yes,0,1,0.0,36.45
No,No,Yes,22,Fiber optic,Month-to-month,Yes,Electronic check,89.4,Yes,2,1,178.8,89.4
Yes,Yes,No,47,Fiber optic,Month-to-month,No,Electronic check,80.35,Yes,1,0,80.35,0.0
Yes,Yes,No,24,DSL,Month-to-month,Yes,Credit card (automatic),40.65,Yes,1,1,40.65,40.65
No,Yes,No,53,DSL,One year,Yes,Electronic check,60.45,Yes,3,2,181.35000000000002,120.9
No,Yes,No,8,Fiber optic,Month-to-month,Yes,Electronic check,84.9,Yes,0,1,0.0,84.9
No,Yes,Yes,2,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),73.55,Yes,1,0,73.55,0.0
No,Yes,No,8,No,Month-to-month,No,Bank transfer (automatic),20.15,Yes,0,0,0.0,0.0
No,Yes,No,48,DSL,One year,No,Mailed check,34.7,Yes,2,0,69.4,0.0
Yes,Yes,No,43,Fiber optic,One year,Yes,Electronic check,107.55,Yes,2,2,215.1,215.1
Yes,Yes,No,16,Fiber optic,Month-to-month,Yes,Electronic check,98.75,Yes,1,2,98.75,197.5
No,Yes,No,8,Fiber optic,Month-to-month,No,Electronic check,101.15,Yes,2,2,202.3,202.3
No,No,No,20,Fiber optic,Month-to-month,Yes,Electronic check,88.7,Yes,1,1,88.7,88.7
No,No,No,2,Fiber optic,Month-to-month,Yes,Electronic check,79.75,Yes,0,1,0.0,79.75
No,No,No,27,Fiber optic,Month-to-month,Yes,Mailed check,94.55,Yes,0,2,0.0,189.1
Yes,No,No,5,Fiber optic,Month-to-month,Yes,Mailed check,69.05,Yes,0,0,0.0,0.0
No,Yes,Yes,52,Fiber optic,Two year,Yes,Bank transfer (automatic),96.25,Yes,2,1,192.5,96.25
Yes,No,No,37,Fiber optic,Month-to-month,Yes,Electronic check,101.1,Yes,1,2,101.1,202.2
No,No,No,69,Fiber optic,One year,Yes,Bank transfer (automatic),104.7,Yes,2,2,209.4,209.4
No,No,Yes,40,DSL,Month-to-month,Yes,Mailed check,55.25,Yes,2,0,110.5,0.0
No,No,No,6,Fiber optic,Month-to-month,Yes,Electronic check,90.1,Yes,1,1,90.1,90.1
No,No,No,11,DSL,Month-to-month,No,Electronic check,53.75,Yes,1,0,53.75,0.0
No,No,No,6,Fiber optic,Month-to-month,No,Electronic check,89.3,Yes,0,2,0.0,178.6
No,Yes,No,3,Fiber optic,Month-to-month,Yes,Electronic check,95.2,Yes,0,2,0.0,190.4
Yes,No,No,5,DSL,Month-to-month,No,Electronic check,45.7,Yes,0,2,0.0,91.4
No,Yes,No,8,Fiber optic,Month-to-month,Yes,Electronic check,74.5,Yes,1,0,74.5,0.0
No,No,No,1,Fiber optic,Month-to-month,Yes,Electronic check,79.65,Yes,0,1,0.0,79.65
Yes,Yes,No,28,Fiber optic,Month-to-month,Yes,Credit card (automatic),101.3,Yes,1,2,101.3,202.6
