SeniorCitizenRelevel,Partner,Dependents,tenure,InternetService,Contract,PaperlessBilling,MonthlyCharges,Churn,AdditionalInternetServicesCount,StreamingServicesCount,MC_x_Additional,MC_x_Streaming,PaymentMethod_bin_3
Yes,Yes,No,7,Fiber optic,Month-to-month,Yes,99.25,Yes,1,2,99.25,198.5,Electronic check
No,Yes,No,1,Fiber optic,Month-to-month,Yes,84.8,Yes,1,1,84.8,84.8,Electronic check
No,No,No,52,Fiber optic,One year,Yes,105.0,Yes,3,2,315.0,210.0,Automatic
No,No,No,22,DSL,Month-to-month,Yes,54.45,Yes,1,0,54.45,0.0,Electronic check
No,Yes,No,47,Fiber optic,Month-to-month,Yes,85.3,Yes,1,1,85.3,85.3,Electronic check
No,No,No,33,Fiber optic,Month-to-month,Yes,83.35,Yes,0,1,0.0,83.35,Electronic check
No,No,No,18,DSL,Month-to-month,Yes,33.5,Yes,2,0,67.0,0.0,Automatic
No,No,No,24,Fiber optic,Month-to-month,Yes,90.35,Yes,0,2,0.0,180.7,Electronic check
No,Yes,No,1,Fiber optic,Month-to-month,Yes,90.75,Yes,0,2,0.0,181.5,Electronic check
No,No,Yes,4,Fiber optic,Month-to-month,No,89.6,Yes,1,1,89.6,89.6,Mailed check
No,No,No,2,DSL,Month-to-month,Yes,49.25,Yes,1,2,49.25,98.5,Electronic check
No,No,Yes,1,No,Month-to-month,No,19.75,Yes,0,0,0.0,0.0,Mailed check
No,No,No,19,Fiber optic,Month-to-month,Yes,95.15,Yes,2,1,190.3,95.15,Electronic check
No,No,No,22,Fiber optic,Month-to-month,Yes,101.35,Yes,1,2,101.35,202.7,Automatic
No,No,No,4,Fiber optic,Month-to-month,Yes,70.05,Yes,0,0,0.0,0.0,Automatic
No,Yes,No,4,Fiber optic,Month-to-month,Yes,74.65,Yes,0,0,0.0,0.0,Electronic check
No,No,No,4,DSL,Month-to-month,No,50.4,Yes,0,0,0.0,0.0,Mailed check
No,No,No,7,Fiber optic,Month-to-month,Yes,79.65,Yes,1,0,79.65,0.0,Mailed check
Yes,No,No,19,Fiber optic,Month-to-month,Yes,79.85,Yes,1,0,79.85,0.0,Electronic check
No,Yes,No,5,Fiber optic,Month-to-month,Yes,78.75,Yes,1,0,78.75,0.0,Electronic check
Yes,Yes,Yes,8,Fiber optic,Month-to-month,Yes,80.45,Yes,0,1,0.0,80.45,Automatic
No,No,No,1,DSL,Month-to-month,Yes,50.1,Yes,0,0,0.0,0.0,Mailed check
No,Yes,No,2,Fiber optic,Month-to-month,No,76.4,Yes,1,0,76.4,0.0,Electronic check
No,No,No,3,Fiber optic,Month-to-month,Yes,98.7,Yes,2,2,197.4,197.4,Electronic check
Yes,No,No,13,Fiber optic,Month-to-month,Yes,100.8,Yes,1,2,100.8,201.6,Electronic check
No,Yes,Yes,28,Fiber optic,One year,Yes,90.1,Yes,0,2,0.0,180.2,Automatic
No,No,No,15,DSL,Month-to-month,No,51.55,Yes,0,0,0.0,0.0,Electronic check
Yes,No,No,10,Fiber optic,Month-to-month,Yes,79.25,Yes,0,1,0.0,79.25,Electronic check
No,No,No,5,Fiber optic,Month-to-month,Yes,94.85,Yes,0,2,0.0,189.7,Automatic
No,No,No,2,Fiber optic,Month-to-month,Yes,85.7,Yes,0,1,0.0,85.7,Electronic check
No,No,No,1,DSL,Month-to-month,No,44.4,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,5,Fiber optic,Month-to-month,Yes,89.5,Yes,0,2,0.0,179.0,Electronic check
Yes,Yes,No,1,Fiber optic,Month-to-month,Yes,86.05,Yes,0,1,0.0,86.05,Electronic check
No,No,No,4,DSL,Month-to-month,Yes,44.55,Yes,0,2,0.0,89.1,Electronic check
No,Yes,Yes,31,DSL,Month-to-month,No,35.4,Yes,2,0,70.8,0.0,Automatic
No,No,No,1,Fiber optic,Month-to-month,No,95.65,Yes,0,2,0.0,191.3,Mailed check
No,No,No,1,No,Month-to-month,No,20.95,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,10,DSL,Month-to-month,Yes,34.7,Yes,0,1,0.0,34.7,Electronic check
No,No,No,15,No,Month-to-month,No,19.75,Yes,0,0,0.0,0.0,Automatic
No,Yes,Yes,17,Fiber optic,Month-to-month,Yes,92.55,Yes,0,2,0.0,185.1,Electronic check
Yes,Yes,No,53,DSL,One year,Yes,60.05,Yes,2,0,120.1,0.0,Electronic check
Yes,Yes,No,16,Fiber optic,Month-to-month,Yes,74.3,Yes,1,0,74.3,0.0,Automatic
No,No,No,9,Fiber optic,Month-to-month,Yes,85.35,Yes,0,1,0.0,85.35,Electronic check
No,No,No,25,DSL,One year,No,74.3,Yes,4,1,297.2,74.3,Mailed check
No,No,Yes,4,Fiber optic,Month-to-month,Yes,98.1,Yes,2,2,196.2,196.2,Automatic
No,No,No,50,Fiber optic,Two year,Yes,109.65,Yes,3,2,328.95000000000005,219.3,Electronic check
Yes,No,No,9,Fiber optic,Month-to-month,Yes,74.55,Yes,0,0,0.0,0.0,Electronic check
No,No,No,3,Fiber optic,Month-to-month,Yes,100.95,Yes,1,2,100.95,201.9,Electronic check
No,No,No,10,Fiber optic,Month-to-month,Yes,94.9,Yes,1,2,94.9,189.8,Electronic check
Yes,Yes,No,32,Fiber optic,Month-to-month,Yes,104.9,Yes,2,2,209.8,209.8,Electronic check
No,Yes,No,9,DSL,One year,No,24.1,Yes,0,0,0.0,0.0,Automatic
No,Yes,No,66,Fiber optic,One year,Yes,104.05,Yes,2,2,208.1,208.1,Electronic check
No,No,No,3,Fiber optic,Month-to-month,Yes,88.35,Yes,2,1,176.7,88.35,Mailed check
No,Yes,Yes,29,Fiber optic,Month-to-month,No,94.65,Yes,1,2,94.65,189.3,Automatic
Yes,Yes,No,1,Fiber optic,Month-to-month,Yes,74.4,Yes,0,0,0.0,0.0,Electronic check
No,Yes,Yes,41,DSL,Month-to-month,No,79.9,Yes,4,1,319.6,79.9,Automatic
Yes,No,No,8,Fiber optic,Month-to-month,Yes,69.7,Yes,0,0,0.0,0.0,Electronic check
Yes,Yes,No,12,Fiber optic,Month-to-month,Yes,98.1,Yes,2,1,196.2,98.1,Electronic check
No,No,No,1,No,Month-to-month,No,20.5,Yes,0,0,0.0,0.0,Mailed check
Yes,Yes,No,4,Fiber optic,Month-to-month,Yes,99.6,Yes,1,2,99.6,199.2,Electronic check
No,No,No,1,Fiber optic,Month-to-month,Yes,81.95,Yes,0,1,0.0,81.95,Electronic check
No,Yes,No,7,Fiber optic,Month-to-month,Yes,69.35,Yes,0,0,0.0,0.0,Electronic check
No,No,No,6,Fiber optic,Month-to-month,Yes,91.1,Yes,0,2,0.0,182.2,Electronic check
No,Yes,No,14,Fiber optic,Month-to-month,Yes,86.1,Yes,0,1,0.0,86.1,Electronic check
No,No,No,25,Fiber optic,Month-to-month,Yes,94.7,Yes,0,2,0.0,189.4,Automatic
No,Yes,No,22,Fiber optic,Month-to-month,Yes,85.1,Yes,0,1,0.0,85.1,Electronic check
No,Yes,Yes,61,Fiber optic,Month-to-month,Yes,99.15,Yes,1,2,99.15,198.3,Electronic check
Yes,Yes,No,70,Fiber optic,Month-to-month,Yes,102.95,Yes,2,2,205.9,205.9,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,45.05,Yes,0,0,0.0,0.0,Mailed check
Yes,No,Yes,1,Fiber optic,Month-to-month,Yes,71.0,Yes,0,0,0.0,0.0,Electronic check
Yes,Yes,Yes,47,Fiber optic,Month-to-month,No,70.55,Yes,0,0,0.0,0.0,Automatic
No,No,No,1,Fiber optic,Month-to-month,Yes,79.7,Yes,0,1,0.0,79.7,Electronic check
No,No,No,22,DSL,Month-to-month,No,59.0,Yes,2,0,118.0,0.0,Electronic check
No,No,No,48,DSL,One year,Yes,60.35,Yes,3,0,181.05,0.0,Automatic
Yes,Yes,Yes,1,Fiber optic,Month-to-month,Yes,69.25,Yes,0,0,0.0,0.0,Electronic check
No,No,No,25,Fiber optic,Month-to-month,No,70.95,Yes,0,0,0.0,0.0,Mailed check
No,Yes,No,20,Fiber optic,Month-to-month,Yes,89.0,Yes,0,2,0.0,178.0,Mailed check
No,Yes,No,18,Fiber optic,Month-to-month,Yes,99.4,Yes,1,2,99.4,198.8,Electronic check
No,No,No,1,Fiber optic,Month-to-month,No,73.5,Yes,1,0,73.5,0.0,Automatic
No,No,No,9,Fiber optic,Month-to-month,Yes,95.5,Yes,0,2,0.0,191.0,Electronic check
No,Yes,No,28,Fiber optic,Month-to-month,Yes,92.35,Yes,1,2,92.35,184.7,Mailed check
No,No,No,11,Fiber optic,Month-to-month,Yes,74.55,Yes,1,0,74.55,0.0,Electronic check
Yes,No,No,12,Fiber optic,Month-to-month,Yes,83.8,Yes,3,0,251.39999999999998,0.0,Mailed check
Yes,No,No,53,DSL,Month-to-month,Yes,54.45,Yes,2,2,108.9,108.9,Electronic check
Yes,Yes,No,41,Fiber optic,Month-to-month,Yes,99.8,Yes,1,2,99.8,199.6,Electronic check
No,Yes,Yes,20,Fiber optic,Month-to-month,Yes,105.85,Yes,2,2,211.7,211.7,Automatic
No,No,No,7,Fiber optic,Month-to-month,No,75.45,Yes,0,0,0.0,0.0,Mailed check
No,No,No,7,Fiber optic,Month-to-month,Yes,93.85,Yes,0,2,0.0,187.7,Electronic check
No,No,No,22,Fiber optic,Month-to-month,Yes,100.75,Yes,1,2,100.75,201.5,Electronic check
No,Yes,Yes,3,DSL,Month-to-month,Yes,31.0,Yes,1,0,31.0,0.0,Mailed check
No,No,No,51,Fiber optic,Month-to-month,No,80.0,Yes,1,0,80.0,0.0,Automatic
Yes,No,No,5,Fiber optic,Month-to-month,Yes,70.25,Yes,0,0,0.0,0.0,Mailed check
No,Yes,Yes,62,Fiber optic,Month-to-month,Yes,100.15,Yes,2,2,200.3,200.3,Electronic check
No,No,No,28,Fiber optic,Month-to-month,Yes,94.5,Yes,2,1,189.0,94.5,Automatic
No,No,No,10,DSL,Month-to-month,Yes,33.9,Yes,0,1,0.0,33.9,Mailed check
Yes,Yes,No,69,Fiber optic,Month-to-month,Yes,89.95,Yes,1,1,89.95,89.95,Electronic check
No,No,No,12,Fiber optic,Month-to-month,Yes,84.45,Yes,0,1,0.0,84.45,Electronic check
No,No,Yes,27,Fiber optic,Month-to-month,Yes,79.5,Yes,1,0,79.5,0.0,Electronic check
No,Yes,Yes,1,Fiber optic,Month-to-month,No,89.15,Yes,0,2,0.0,178.3,Mailed check
Yes,No,No,14,Fiber optic,Month-to-month,Yes,74.95,Yes,0,0,0.0,0.0,Electronic check
Yes,No,No,32,Fiber optic,Month-to-month,Yes,74.4,Yes,1,0,74.4,0.0,Electronic check
No,No,No,3,DSL,Month-to-month,Yes,55.3,Yes,0,1,0.0,55.3,Electronic check
No,Yes,Yes,22,DSL,Month-to-month,No,55.15,Yes,2,0,110.3,0.0,Electronic check
No,Yes,No,16,Fiber optic,Month-to-month,Yes,84.95,Yes,0,1,0.0,84.95,Electronic check
No,No,No,5,DSL,Month-to-month,Yes,43.25,Yes,4,0,173.0,0.0,Mailed check
No,Yes,Yes,23,DSL,One year,Yes,48.35,Yes,0,0,0.0,0.0,Automatic
No,No,No,1,Fiber optic,Month-to-month,Yes,79.55,Yes,0,1,0.0,79.55,Electronic check
Yes,Yes,No,50,Fiber optic,Month-to-month,Yes,71.05,Yes,0,0,0.0,0.0,Electronic check
No,No,No,1,Fiber optic,Month-to-month,No,84.5,Yes,0,1,0.0,84.5,Electronic check
No,Yes,No,71,Fiber optic,Two year,Yes,108.6,Yes,3,2,325.79999999999995,217.2,Automatic
No,No,No,46,DSL,Month-to-month,No,30.3,Yes,1,0,30.3,0.0,Automatic
Yes,No,No,2,DSL,Month-to-month,Yes,30.4,Yes,1,0,30.4,0.0,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,45.4,Yes,0,0,0.0,0.0,Mailed check
No,Yes,No,32,Fiber optic,Month-to-month,No,84.15,Yes,1,1,84.15,84.15,Automatic
No,No,No,3,No,Month-to-month,No,19.75,Yes,0,0,0.0,0.0,Electronic check
No,No,No,5,Fiber optic,Month-to-month,Yes,85.4,Yes,1,1,85.4,85.4,Automatic
No,No,Yes,49,Fiber optic,Month-to-month,No,75.2,Yes,0,0,0.0,0.0,Automatic
No,No,Yes,17,DSL,One year,Yes,55.85,Yes,1,0,55.85,0.0,Mailed check
Yes,No,No,23,Fiber optic,Month-to-month,Yes,106.4,Yes,2,2,212.8,212.8,Electronic check
No,No,No,6,Fiber optic,Month-to-month,Yes,84.4,Yes,1,1,84.4,84.4,Electronic check
No,No,No,6,DSL,Month-to-month,No,56.25,Yes,2,0,112.5,0.0,Electronic check
Yes,No,No,2,Fiber optic,Month-to-month,Yes,85.55,Yes,0,1,0.0,85.55,Electronic check
No,No,No,4,DSL,Month-to-month,Yes,68.65,Yes,1,2,68.65,137.3,Automatic
No,No,No,4,Fiber optic,Month-to-month,No,77.85,Yes,0,1,0.0,77.85,Electronic check
No,No,No,3,Fiber optic,Month-to-month,Yes,105.35,Yes,2,2,210.7,210.7,Automatic
No,No,No,8,Fiber optic,Month-to-month,Yes,87.05,Yes,0,1,0.0,87.05,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,53.5,Yes,0,1,0.0,53.5,Mailed check
No,No,No,1,DSL,Month-to-month,Yes,25.1,Yes,0,0,0.0,0.0,Mailed check
Yes,Yes,No,30,Fiber optic,Month-to-month,Yes,79.65,Yes,2,0,159.3,0.0,Mailed check
No,No,No,5,DSL,Month-to-month,No,54.2,Yes,2,0,108.4,0.0,Electronic check
Yes,No,No,1,No,Month-to-month,Yes,19.45,Yes,0,0,0.0,0.0,Electronic check
No,Yes,Yes,72,Fiber optic,Two year,Yes,103.4,Yes,2,2,206.8,206.8,Electronic check
No,No,No,13,Fiber optic,Month-to-month,Yes,84.45,Yes,2,0,168.9,0.0,Electronic check
Yes,Yes,No,32,Fiber optic,Month-to-month,Yes,85.95,Yes,0,1,0.0,85.95,Automatic
Yes,No,No,16,DSL,Month-to-month,No,59.4,Yes,1,1,59.4,59.4,Electronic check
No,No,No,29,DSL,Month-to-month,Yes,30.6,Yes,1,0,30.6,0.0,Electronic check
Yes,No,No,38,Fiber optic,Month-to-month,Yes,99.55,Yes,1,2,99.55,199.1,Electronic check
No,No,No,17,Fiber optic,Month-to-month,Yes,70.0,Yes,0,0,0.0,0.0,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,45.3,Yes,0,0,0.0,0.0,Electronic check
No,No,No,2,DSL,Month-to-month,No,29.85,Yes,1,0,29.85,0.0,Automatic
Yes,No,No,2,Fiber optic,Month-to-month,Yes,95.1,Yes,3,1,285.29999999999995,95.1,Automatic
No,No,No,1,No,Month-to-month,No,19.8,Yes,0,0,0.0,0.0,Mailed check
No,No,No,4,Fiber optic,Month-to-month,Yes,76.65,Yes,1,0,76.65,0.0,Automatic
No,Yes,Yes,5,Fiber optic,Month-to-month,Yes,99.15,Yes,2,2,198.3,198.3,Mailed check
No,No,No,9,DSL,Month-to-month,No,44.95,Yes,0,0,0.0,0.0,Mailed check
No,Yes,No,18,DSL,Month-to-month,Yes,49.55,Yes,1,0,49.55,0.0,Mailed check
No,No,Yes,25,Fiber optic,Month-to-month,Yes,95.9,Yes,1,2,95.9,191.8,Electronic check
Yes,Yes,No,17,Fiber optic,Month-to-month,No,81.5,Yes,0,1,0.0,81.5,Automatic
No,Yes,No,52,Fiber optic,Month-to-month,No,84.1,Yes,1,1,84.1,84.1,Electronic check
Yes,Yes,No,3,DSL,Month-to-month,Yes,36.45,Yes,0,1,0.0,36.45,Mailed check
Yes,No,No,1,DSL,Month-to-month,No,25.05,Yes,0,0,0.0,0.0,Mailed check
No,No,No,8,DSL,Month-to-month,Yes,49.85,Yes,1,0,49.85,0.0,Electronic check
Yes,Yes,No,43,DSL,Month-to-month,No,55.55,Yes,2,2,111.1,111.1,Automatic
No,Yes,Yes,22,DSL,One year,Yes,69.5,Yes,1,2,69.5,139.0,Automatic
No,Yes,No,54,Fiber optic,Month-to-month,Yes,104.3,Yes,2,2,208.6,208.6,Electronic check
No,No,No,1,Fiber optic,Month-to-month,Yes,93.85,Yes,0,2,0.0,187.7,Electronic check
No,Yes,Yes,1,DSL,Month-to-month,No,50.45,Yes,1,0,50.45,0.0,Mailed check
No,No,No,7,DSL,Month-to-month,Yes,74.65,Yes,1,2,74.65,149.3,Electronic check
No,No,No,12,Fiber optic,Month-to-month,Yes,94.2,Yes,0,2,0.0,188.4,Electronic check
No,Yes,No,54,Fiber optic,One year,No,106.55,Yes,2,2,213.1,213.1,Automatic
No,No,No,1,No,Month-to-month,No,20.1,Yes,0,0,0.0,0.0,Mailed check
No,Yes,Yes,23,Fiber optic,Month-to-month,No,83.8,Yes,3,0,251.39999999999998,0.0,Electronic check
No,No,No,3,DSL,Month-to-month,No,55.15,Yes,0,1,0.0,55.15,Mailed check
Yes,Yes,No,10,Fiber optic,Month-to-month,Yes,86.65,Yes,0,1,0.0,86.65,Electronic check
Yes,No,No,37,Fiber optic,Month-to-month,Yes,106.75,Yes,2,2,213.5,213.5,Automatic
No,No,No,31,Fiber optic,Month-to-month,Yes,78.45,Yes,2,0,156.9,0.0,Electronic check
No,Yes,Yes,34,Fiber optic,Month-to-month,No,87.45,Yes,1,1,87.45,87.45,Electronic check
No,Yes,Yes,29,Fiber optic,Month-to-month,Yes,70.75,Yes,0,0,0.0,0.0,Electronic check
Yes,Yes,No,12,Fiber optic,Month-to-month,Yes,101.35,Yes,1,2,101.35,202.7,Electronic check
No,No,No,1,Fiber optic,Month-to-month,Yes,81.7,Yes,1,0,81.7,0.0,Electronic check
No,No,No,33,Fiber optic,Month-to-month,No,68.25,Yes,0,0,0.0,0.0,Electronic check
No,No,No,4,Fiber optic,Month-to-month,Yes,79.15,Yes,0,1,0.0,79.15,Electronic check
Yes,No,No,35,Fiber optic,Month-to-month,Yes,95.45,Yes,0,2,0.0,190.9,Electronic check
No,Yes,Yes,19,Fiber optic,One year,Yes,100.95,Yes,1,2,100.95,201.9,Electronic check
No,Yes,Yes,1,Fiber optic,Month-to-month,Yes,69.1,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,1,Fiber optic,Month-to-month,Yes,69.6,Yes,0,0,0.0,0.0,Electronic check
No,No,No,31,Fiber optic,One year,Yes,103.45,Yes,2,2,206.9,206.9,Electronic check
No,No,No,4,Fiber optic,Month-to-month,No,77.95,Yes,1,0,77.95,0.0,Automatic
Yes,No,No,1,Fiber optic,Month-to-month,No,78.45,Yes,0,1,0.0,78.45,Electronic check
No,No,No,10,DSL,Month-to-month,No,29.5,Yes,1,0,29.5,0.0,Mailed check
No,No,No,2,DSL,Month-to-month,Yes,70.75,Yes,1,2,70.75,141.5,Electronic check
Yes,No,No,9,Fiber optic,Month-to-month,Yes,84.45,Yes,0,1,0.0,84.45,Electronic check
No,No,No,4,Fiber optic,Month-to-month,Yes,85.65,Yes,0,1,0.0,85.65,Electronic check
Yes,No,No,38,DSL,One year,Yes,70.15,Yes,3,1,210.45000000000002,70.15,Automatic
Yes,No,No,51,Fiber optic,Month-to-month,Yes,97.8,Yes,1,2,97.8,195.6,Electronic check
No,No,No,1,DSL,Month-to-month,No,46.3,Yes,0,0,0.0,0.0,Mailed check
No,No,No,41,Fiber optic,Month-to-month,Yes,106.3,Yes,2,2,212.6,212.6,Electronic check
No,No,No,12,Fiber optic,Month-to-month,Yes,89.4,Yes,2,1,178.8,89.4,Electronic check
Yes,No,No,5,Fiber optic,Month-to-month,Yes,83.15,Yes,0,1,0.0,83.15,Automatic
No,No,No,10,Fiber optic,Month-to-month,Yes,74.15,Yes,0,0,0.0,0.0,Mailed check
No,Yes,No,11,Fiber optic,Month-to-month,Yes,99.5,Yes,1,2,99.5,199.0,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,44.15,Yes,0,0,0.0,0.0,Mailed check
No,No,No,16,DSL,Month-to-month,Yes,53.9,Yes,2,0,107.8,0.0,Mailed check
No,No,No,1,Fiber optic,Month-to-month,Yes,85.45,Yes,0,1,0.0,85.45,Mailed check
No,Yes,Yes,4,DSL,Month-to-month,No,50.85,Yes,0,0,0.0,0.0,Mailed check
No,No,Yes,1,DSL,Month-to-month,No,59.2,Yes,1,1,59.2,59.2,Electronic check
No,No,No,13,Fiber optic,Month-to-month,Yes,83.2,Yes,1,1,83.2,83.2,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,54.9,Yes,2,0,109.8,0.0,Electronic check
No,Yes,No,21,Fiber optic,Month-to-month,Yes,103.9,Yes,2,2,207.8,207.8,Electronic check
No,Yes,Yes,11,No,Month-to-month,Yes,19.25,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,2,Fiber optic,Month-to-month,Yes,75.45,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,2,DSL,Month-to-month,No,54.85,Yes,2,0,109.7,0.0,Mailed check
Yes,Yes,No,1,Fiber optic,Month-to-month,Yes,95.1,Yes,0,2,0.0,190.2,Electronic check
No,Yes,No,6,Fiber optic,Month-to-month,Yes,75.5,Yes,0,0,0.0,0.0,Electronic check
No,Yes,Yes,4,Fiber optic,Month-to-month,Yes,73.75,Yes,1,0,73.75,0.0,Electronic check
No,No,No,12,Fiber optic,Month-to-month,Yes,96.05,Yes,0,2,0.0,192.1,Electronic check
No,No,No,4,Fiber optic,Month-to-month,Yes,88.95,Yes,1,1,88.95,88.95,Electronic check
No,No,No,4,DSL,Month-to-month,No,50.7,Yes,1,0,50.7,0.0,Automatic
No,No,No,3,DSL,Month-to-month,No,53.4,Yes,0,1,0.0,53.4,Automatic
Yes,Yes,No,53,Fiber optic,Month-to-month,Yes,101.9,Yes,1,2,101.9,203.8,Electronic check
No,Yes,Yes,68,Fiber optic,One year,Yes,83.0,Yes,0,1,0.0,83.0,Electronic check
No,No,Yes,1,DSL,Month-to-month,No,50.6,Yes,1,0,50.6,0.0,Mailed check
No,No,No,10,Fiber optic,Month-to-month,Yes,89.5,Yes,0,2,0.0,179.0,Electronic check
No,No,No,1,Fiber optic,Month-to-month,Yes,69.8,Yes,0,0,0.0,0.0,Electronic check
Yes,Yes,No,51,Fiber optic,Month-to-month,Yes,93.8,Yes,2,1,187.6,93.8,Automatic
No,Yes,No,24,Fiber optic,Month-to-month,Yes,101.05,Yes,1,2,101.05,202.1,Electronic check
No,Yes,No,18,Fiber optic,Month-to-month,Yes,94.7,Yes,0,2,0.0,189.4,Electronic check
Yes,Yes,No,72,Fiber optic,Two year,Yes,104.15,Yes,2,2,208.3,208.3,Automatic
No,Yes,Yes,4,DSL,Month-to-month,No,61.45,Yes,1,1,61.45,61.45,Automatic
No,No,No,1,Fiber optic,Month-to-month,Yes,90.55,Yes,0,2,0.0,181.1,Electronic check
No,No,No,26,Fiber optic,Month-to-month,Yes,88.8,Yes,0,2,0.0,177.6,Automatic
No,No,No,7,Fiber optic,Month-to-month,Yes,85.2,Yes,0,1,0.0,85.2,Mailed check
Yes,No,No,5,Fiber optic,Month-to-month,Yes,91.4,Yes,0,2,0.0,182.8,Electronic check
No,Yes,No,42,Fiber optic,Month-to-month,Yes,106.15,Yes,2,2,212.3,212.3,Automatic
No,No,No,4,DSL,Month-to-month,Yes,45.3,Yes,0,0,0.0,0.0,Mailed check
No,No,No,2,Fiber optic,Month-to-month,Yes,73.25,Yes,0,0,0.0,0.0,Automatic
No,Yes,Yes,8,DSL,Month-to-month,Yes,51.05,Yes,1,0,51.05,0.0,Electronic check
No,Yes,Yes,9,Fiber optic,Month-to-month,Yes,85.35,Yes,0,1,0.0,85.35,Automatic
Yes,No,No,1,Fiber optic,Month-to-month,Yes,75.35,Yes,0,0,0.0,0.0,Electronic check
No,No,No,43,Fiber optic,Month-to-month,Yes,75.2,Yes,1,0,75.2,0.0,Electronic check
No,No,No,1,No,Month-to-month,No,20.9,Yes,0,0,0.0,0.0,Mailed check
No,No,No,3,DSL,Month-to-month,Yes,43.3,Yes,0,0,0.0,0.0,Electronic check
No,Yes,No,70,Fiber optic,One year,Yes,109.5,Yes,4,2,438.0,219.0,Automatic
Yes,No,No,11,Fiber optic,Month-to-month,Yes,84.8,Yes,0,1,0.0,84.8,Automatic
Yes,Yes,No,50,Fiber optic,Month-to-month,Yes,95.05,Yes,2,1,190.1,95.05,Electronic check
Yes,No,No,5,DSL,Month-to-month,No,50.35,Yes,1,0,50.35,0.0,Electronic check
No,Yes,No,1,Fiber optic,Month-to-month,Yes,74.6,Yes,0,0,0.0,0.0,Automatic
No,No,No,16,No,Month-to-month,Yes,19.7,Yes,0,0,0.0,0.0,Mailed check
No,No,No,15,DSL,Month-to-month,Yes,59.45,Yes,1,1,59.45,59.45,Electronic check
No,No,Yes,46,Fiber optic,One year,Yes,105.2,Yes,3,2,315.6,210.4,Automatic
No,No,No,8,DSL,Month-to-month,Yes,45.15,Yes,0,0,0.0,0.0,Mailed check
No,Yes,No,31,Fiber optic,Month-to-month,No,93.8,Yes,2,1,187.6,93.8,Electronic check
No,No,No,32,Fiber optic,Month-to-month,Yes,96.2,Yes,1,2,96.2,192.4,Electronic check
No,No,Yes,1,Fiber optic,Month-to-month,Yes,79.6,Yes,0,1,0.0,79.6,Electronic check
No,No,No,20,Fiber optic,Month-to-month,Yes,85.25,Yes,0,1,0.0,85.25,Electronic check
No,No,No,26,Fiber optic,Month-to-month,Yes,80.5,Yes,1,0,80.5,0.0,Electronic check
Yes,No,No,5,Fiber optic,Month-to-month,Yes,89.8,Yes,1,1,89.8,89.8,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,50.75,Yes,1,0,50.75,0.0,Electronic check
No,Yes,Yes,14,Fiber optic,Month-to-month,Yes,89.65,Yes,2,1,179.3,89.65,Automatic
No,No,No,36,DSL,One year,Yes,65.4,Yes,2,1,130.8,65.4,Mailed check
No,No,Yes,9,DSL,Month-to-month,Yes,72.9,Yes,2,2,145.8,145.8,Mailed check
No,No,No,5,DSL,Month-to-month,No,40.0,Yes,3,0,120.0,0.0,Mailed check
Yes,No,No,9,Fiber optic,Month-to-month,Yes,99.45,Yes,1,2,99.45,198.9,Automatic
No,No,No,2,Fiber optic,Month-to-month,Yes,86.25,Yes,3,0,258.75,0.0,Electronic check
No,No,No,1,DSL,Month-to-month,Yes,45.65,Yes,0,0,0.0,0.0,Electronic check
No,No,No,8,Fiber optic,Month-to-month,Yes,70.1,Yes,0,0,0.0,0.0,Mailed check
Yes,No,No,2,Fiber optic,Month-to-month,Yes,70.2,Yes,0,0,0.0,0.0,Automatic
No,No,No,3,DSL,Month-to-month,No,55.35,Yes,2,0,110.7,0.0,Electronic check
Yes,Yes,Yes,51,Fiber optic,Month-to-month,Yes,84.2,Yes,2,0,168.4,0.0,Electronic check
No,No,No,2,DSL,Month-to-month,No,45.85,Yes,0,0,0.0,0.0,Mailed check
No,No,No,39,Fiber optic,Month-to-month,No,75.25,Yes,0,0,0.0,0.0,Electronic check
No,No,No,12,Fiber optic,Month-to-month,Yes,100.15,Yes,1,2,100.15,200.3,Automatic
Yes,Yes,Yes,26,Fiber optic,Month-to-month,No,105.75,Yes,2,2,211.5,211.5,Electronic check
Yes,Yes,No,18,DSL,Month-to-month,Yes,48.35,Yes,1,2,48.35,96.7,Electronic check
No,Yes,Yes,2,DSL,Month-to-month,Yes,24.4,Yes,0,0,0.0,0.0,Mailed check
No,No,No,4,No,Month-to-month,No,20.95,Yes,0,0,0.0,0.0,Automatic
Yes,Yes,No,1,DSL,Month-to-month,Yes,49.55,Yes,1,0,49.55,0.0,Electronic check
No,No,No,9,No,Month-to-month,No,20.25,Yes,0,0,0.0,0.0,Mailed check
Yes,Yes,No,2,DSL,Month-to-month,No,50.15,Yes,1,0,50.15,0.0,Automatic
